follower_count,avg_views,avg_interactions,new_followers_rate,accounts_reached,niche,price
10191,9632,210,4,15574,travel,500.0
3805,3148,59,0,3214,education,500.0
58787,24128,1134,11,68055,business,788.61
1956,1866,38,0,2912,fashion,500.0
28640,35564,624,4,46532,food,590.06
1083,1086,77,0,1232,comedy,500.0
31992,30059,846,20,33059,lifestyle,578.87
185207,103068,4335,108,252690,beauty,4558.83
1000,776,46,0,1451,pets,500.0
2999,1214,74,0,4207,travel,500.0
26687,23510,1542,45,18683,gaming,500.0
2159,2627,67,1,1922,fashion,500.0
8493,7017,192,1,12610,fashion,500.0
7441,3256,127,1,12807,luxury,500.0
9043,11030,214,3,13836,business,500.0
1177,1320,28,0,1234,tech,500.0
15911,13797,482,7,10377,beauty,500.0
12513,8810,244,1,9294,business,500.0
13829,8850,399,4,24670,food,500.0
8448,8260,226,6,13472,tech,500.0
3162,2045,91,1,2579,pets,500.0
9630,5550,249,2,10461,fashion,500.0
6911,8126,275,6,11592,music,500.0
5810,2739,169,4,7098,fitness,500.0
7694,6891,227,6,11054,travel,500.0
59762,34937,1147,9,100353,fashion,1146.47
21584,27042,838,5,25216,pets,500.0
5672,4970,123,1,6021,fashion,500.0
4673,2100,153,2,5713,fitness,500.0
8874,5742,275,3,13619,fashion,500.0
125963,111717,8256,86,87768,comedy,2025.8
70947,90459,1323,18,120203,business,1154.38
1000,745,28,0,1745,fashion,500.0
1000,528,12,0,913,luxury,500.0
2198,1754,52,0,3672,business,500.0
8606,11172,236,3,14295,music,500.0
18362,23839,288,1,31178,tech,500.0
1774,1063,64,1,1912,fitness,500.0
11932,7959,391,10,12057,beauty,500.0
3594,3096,228,2,6442,memes,500.0
2433,2811,87,2,4030,music,500.0
1843,1747,64,1,1537,music,500.0
7598,4685,142,3,12868,lifestyle,500.0
4875,2534,112,1,7455,lifestyle,500.0
28318,13540,1276,34,42601,gaming,610.41
17902,11267,685,12,25505,pets,500.0
155033,196354,4751,71,119583,fashion,2956.86
2164,1701,47,0,1802,business,500.0
2601,2697,89,2,2419,fitness,500.0
4707,2396,122,3,6448,food,500.0
9015,8777,285,2,6580,music,500.0
3929,5056,120,0,3761,food,500.0
4053,1772,126,2,4689,music,500.0
2197,2273,100,1,3793,memes,500.0
60142,67997,3900,110,53655,memes,1285.82
7306,8778,314,2,7064,music,500.0
1249,951,23,0,2224,fashion,500.0
109189,103164,2049,35,107223,business,1549.78
18506,10692,422,12,23673,luxury,500.0
44932,55649,1565,38,51797,beauty,1110.57
10659,10484,443,5,14580,fitness,500.0
3207,1850,84,2,2791,fashion,500.0
129677,113022,3780,79,167608,food,2550.68
